rank,record_id,lon,lat,maps_url,p_calibrated,p_raw,p_raw_std,priority_score,dist_to_pos_km,depth,distance_to_shore,wave_mean,turb_mean,sal_std,regime_bin,subregion_id,verification_decision,verification_confidence,evidence_url_1,evidence_url_2,verified_dates,reviewer,review_notes
1,v12vp_0001,79.00941937588762,9.355333934360836,"https://www.google.com/maps?q=9.355333934360836,79.00941937588762",0.6666667,0.91206586,0.0,0.5676858564381414,2.8012187079202877,0.8851986,993.7593,0.5595071,475.0956,2.9376645,0_0_1_4,12,pending,,,,,,
2,v12vp_0002,79.01840252872881,9.346350781519645,"https://www.google.com/maps?q=9.346350781519645,79.01840252872881",0.6666667,0.9241255,0.0,0.5641643427055388,1.4006143903069679,0.79320157,986.9981,0.5595071,420.76147,2.9300725,0_0_1_4,12,pending,,,,,,
3,v12vp_0003,79.01840252872881,9.355333934360836,"https://www.google.com/maps?q=9.355333934360836,79.01840252872881",0.6666667,0.9165712,0.0,0.5392589775193176,2.219080837188699,1.4950072,1400.6044,0.5595071,455.173,2.9300725,1_0_1_4,12,pending,,,,,,
4,v12vp_0004,79.00941937588762,9.364317087202032,"https://www.google.com/maps?q=9.364317087202032,79.00941937588762",0.6666667,0.90262055,0.0,0.5159307495161146,3.575536697797629,1.4241878,1973.9106,0.5595071,496.0142,2.9376645,1_0_1_4,12,pending,,,,,,
5,v12vp_0005,79.73705475602442,9.130755113330958,"https://www.google.com/maps?q=9.130755113330958,79.73705475602442",0.6666667,0.95566845,0.0,0.47709264961808456,1.4005429504878832,4.5013795,1986.7915,0.64617026,687.60004,0.15042552,4_2_2_0,14,pending,,,,,,
6,v12vp_0006,79.7819705202304,8.501934414447293,"https://www.google.com/maps?q=8.501934414447293,79.7819705202304",0.3,0.20863272,0.0,0.43164013,58.608281796731994,3.435788,2980.0398,0.7202358,1026.5596,1.1612067,3_4_4_2,4,pending,,,,,,
7,v12vp_0007,79.76400421454801,9.0499067377602,"https://www.google.com/maps?q=9.0499067377602,79.76400421454801",0.42424244,0.7269883,0.0,0.42151451008933394,2.80137626198327,2.1709385,993.38214,0.6808922,829.60785,1.7431514,2_3_3_3,9,pending,,,,,,
8,v12vp_0008,79.71908845034204,9.06787304344259,"https://www.google.com/maps?q=9.06787304344259,79.71908845034204",0.42424244,0.808798,0.0,0.4115749379682954,3.5668279326717194,1.3897423,1400.6547,0.6883227,792.0836,0.5733223,1_3_3_1,9,pending,,,,,,
9,v12vp_0009,79.71010529750085,9.08583934912498,"https://www.google.com/maps?q=9.08583934912498,79.71010529750085",0.42424244,0.8393383,0.0,0.41016359424901927,1.9747785822213864,3.0539274,987.3876,0.6871192,1350.6779,0.31963208,3_4_3_0,9,pending,,,,,,
10,v12vp_0010,79.74603790886562,9.6158453667555,"https://www.google.com/maps?q=9.6158453667555,79.74603790886562",0.42424244,0.7888026,0.0,0.40444151001614514,3.1390962079402778,1.9624367,1399.5918,0.51048106,743.5764,0.8491235,2_3_0_1,19,pending,,,,,,
11,v12vp_0011,79.71908845034204,9.08583934912498,"https://www.google.com/maps?q=9.08583934912498,79.71908845034204",0.42424244,0.70655864,0.0,0.40002226613880026,2.8012388400581254,4.350123,987.38074,0.67876226,1451.0398,0.3916644,4_4_3_0,9,pending,,,,,,
12,v12vp_0012,79.75502106170681,9.624828519596694,"https://www.google.com/maps?q=9.624828519596694,79.75502106170681",0.33333334,0.4169321,0.0,0.3917220292323397,3.973662086802188,0.5878998,985.8476,0.51406664,783.0537,1.3405911,0_3_0_2,19,pending,,,,,,
13,v12vp_0013,79.00043622304642,9.364317087202032,"https://www.google.com/maps?q=9.364317087202032,79.00043622304642",0.33333334,0.372303,0.0,0.3894720856514279,4.2018129685528285,0.8851986,986.95795,0.5595071,630.70685,2.9452567,0_1_1_4,12,pending,,,,,,
14,v12vp_0014,79.64722322761247,9.517030685502352,"https://www.google.com/maps?q=9.517030685502352,79.64722322761247",0.3,0.19769855,0.0,0.38357687306431865,9.095112163486242,1.3150104,986.1995,0.5511048,699.5632,2.3007255,1_2_1_3,19,pending,,,,,,
15,v12vp_0015,79.74603790886562,9.49906437981996,"https://www.google.com/maps?q=9.49906437981996,79.74603790886562",0.42424244,0.8575856,0.0,0.38130429659695575,1.399828714470158,0.81841177,1972.4365,0.56187135,727.32544,2.370854,0_2_2_3,19,pending,,,,,,
16,v12vp_0016,79.14416666850555,9.265502405948885,"https://www.google.com/maps?q=9.265502405948885,79.14416666850555",0.33333334,0.405619,0.0,0.38119565781796716,1.4006531926315402,0.7233485,993.6781,0.7436669,656.7769,2.326447,0_2_4_3,12,pending,,,,,,
17,v12vp_0017,79.26993080828228,9.31041817015486,"https://www.google.com/maps?q=9.31041817015486,79.26993080828228",0.35,0.56965625,0.0,0.38027169635130253,1.4004959856842603,1.7659643,986.9567,0.65082836,774.551,2.6101394,2_3_2_4,13,pending,,,,,,
18,v12vp_0018,79.7819705202304,9.0499067377602,"https://www.google.com/maps?q=9.0499067377602,79.7819705202304",0.33333334,0.44705248,0.0,0.37986207888222956,1.986749802376623,1.0878221,987.4559,0.68899417,1225.9712,1.7389786,0_4_3_3,9,pending,,,,,,
19,v12vp_0019,79.74603790886562,9.508047532661156,"https://www.google.com/maps?q=9.508047532661156,79.74603790886562",0.42424244,0.8829255,0.0,0.37703960299186207,1.3997931670545714,1.2451265,1972.385,0.5549446,696.9139,2.4135165,1_2_1_4,19,pending,,,,,,
20,v12vp_0020,79.75502106170681,9.66974428380267,"https://www.google.com/maps?q=9.66974428380267,79.75502106170681",0.42424244,0.69223696,0.0,0.3737161482223906,1.3994609256511723,1.5821296,1971.4308,0.49404126,677.29474,1.5474346,1_2_0_2,19,pending,,,,,,
21,v12vp_0021,79.72807160318324,9.06787304344259,"https://www.google.com/maps?q=9.06787304344259,79.72807160318324",0.3,0.19559367,0.0,0.3735424842453016,4.421207238139602,0.6875003,993.3965,0.6788279,752.15283,0.961425,0_3_3_1,9,pending,,,,,,
22,v12vp_0022,79.7729873673892,9.579912755390716,"https://www.google.com/maps?q=9.579912755390716,79.7729873673892",0.35,0.59122133,0.0,0.37197250831483586,2.208021101450613,0.8080515,1399.6364,0.51101124,1061.9994,1.4193771,0_4_0_2,19,pending,,,,,,
23,v12vp_0023,79.7729873673892,9.642794825279084,"https://www.google.com/maps?q=9.642794825279084,79.7729873673892",0.4,0.62602687,0.0,0.37091090592618065,1.9715746658918847,0.6476022,1986.8209,0.5083671,1211.7606,2.2063658,0_4_0_3,19,pending,,,,,,
24,v12vp_0024,79.71010529750085,9.06787304344259,"https://www.google.com/maps?q=9.06787304344259,79.71010529750085",0.35,0.59208375,0.0,0.36965512256622046,2.801316621283352,1.2371119,1400.6643,0.6978175,688.7115,0.43426728,1_2_3_0,9,pending,,,,,,
25,v12vp_0025,79.75502106170681,9.0499067377602,"https://www.google.com/maps?q=9.0499067377602,79.75502106170681",0.33333334,0.37862173,0.0,0.3687370760613353,3.566985616214314,2.7099278,993.3855,0.6747775,797.3288,1.7452377,3_3_3_3,9,pending,,,,,,
26,v12vp_0026,79.7999368259128,9.678727436643864,"https://www.google.com/maps?q=9.678727436643864,79.7999368259128",0.3,0.25251025,0.0,0.3664957227402298,3.1194123598193753,0.98653364,985.6779,0.49514508,879.5847,2.3853638,0_4_0_3,19,pending,,,,,,
27,v12vp_0027,79.7909536730716,9.696693742326255,"https://www.google.com/maps?q=9.696693742326255,79.7909536730716",0.3,0.21094798,0.0,0.3660927549450853,2.2074501484336695,0.6769775,993.4073,0.49556512,733.8011,0.37345406,0_2_0_0,19,pending,,,,,,
28,v12vp_0028,79.33281287817064,9.301435017313668,"https://www.google.com/maps?q=9.301435017313668,79.33281287817064",0.3,0.27415913,0.0,0.36508740854325117,1.9871631844699962,0.7346012,986.95496,0.630937,839.02515,2.5434067,0_3_2_4,13,pending,,,,,,
29,v12vp_0029,79.20704873839391,9.292451864472472,"https://www.google.com/maps?q=9.292451864472472,79.20704873839391",0.3,0.172748,0.0,0.3649316288480633,1.4005531278097874,0.5495754,987.03973,0.68482155,744.1122,0.40592358,0_3_3_0,13,pending,,,,,,
30,v12vp_0030,79.71010529750085,9.076856196283789,"https://www.google.com/maps?q=9.076856196283789,79.71010529750085",0.33333334,0.5050046,0.0,0.3614789306861,2.2105894251547005,3.0027404,987.4122,0.69246835,1300.7716,0.43426728,3_4_3_0,9,pending,,,,,,
31,v12vp_0031,79.71908845034204,9.076856196283789,"https://www.google.com/maps?q=9.076856196283789,79.71908845034204",0.35,0.5765117,0.0,0.36087233864970675,3.1243369234744973,4.2919154,987.40533,0.6835425,1363.316,0.5733223,4_4_3_1,9,pending,,,,,,
32,v12vp_0032,79.12620036282316,9.301435017313668,"https://www.google.com/maps?q=9.301435017313668,79.12620036282316",0.3,0.26844847,0.0,0.3608227203316868,1.974131131453251,1.1229504,993.68945,0.68234956,573.5425,1.3957682,1_1_3_2,12,pending,,,,,,
33,v12vp_0033,79.2339981969175,9.247536100266496,"https://www.google.com/maps?q=9.247536100266496,79.2339981969175",0.3,0.29534167,0.0,0.3601195908807201,1.974297739863056,1.1936232,993.62885,0.7388285,1008.2121,1.705583,1_4_4_3,13,pending,,,,,,
34,v12vp_0034,79.16213297418793,9.265502405948885,"https://www.google.com/maps?q=9.265502405948885,79.16213297418793",0.3,0.32002994,0.0,0.36009625355171476,1.4006393416623457,1.0,993.6682,0.7436669,842.25323,2.0013978,0_3_4_3,12,pending,,,,,,
35,v12vp_0035,79.19806558555271,9.27448555879008,"https://www.google.com/maps?q=9.27448555879008,79.19806558555271",0.3,0.17827201,0.0,0.35988029521820614,1.4006014415887402,1.0544499,987.0948,0.7061261,1059.7421,0.14383006,0_4_3_0,13,pending,,,,,,
36,v12vp_0036,79.74603790886562,9.606862213914305,"https://www.google.com/maps?q=9.606862213914305,79.74603790886562",0.3,0.27374107,0.0,0.35775798940995945,2.218008713147439,1.5515789,985.90295,0.51048106,783.7378,0.4713061,1_3_0_0,19,pending,,,,,,
37,v12vp_0037,79.74603790886562,9.597879061073108,"https://www.google.com/maps?q=9.597879061073108,79.74603790886562",0.3,0.2607269,0.0,0.35713246530722315,1.3996276910723662,1.3347298,985.92896,0.51048106,850.14404,0.27670056,1_3_0_0,19,pending,,,,,,
38,v12vp_0038,79.0453519872524,9.319401322996058,"https://www.google.com/maps?q=9.319401322996058,79.0453519872524",0.3,0.1937184,0.0,0.3562371868146832,1.4006345835397338,1.4189543,987.05835,0.5595071,640.9023,2.6382267,1_1_1_4,12,pending,,,,,,
39,v12vp_0039,79.05433514009358,9.247536100266496,"https://www.google.com/maps?q=9.247536100266496,79.05433514009358",0.3,0.24927494,0.0,0.35427722137277967,1.974493489197373,1.777432,993.72784,0.74519163,741.1017,2.4026098,2_3_4_3,12,pending,,,,,,
40,v12vp_0040,79.69213899181845,9.06787304344259,"https://www.google.com/maps?q=9.06787304344259,79.69213899181845",0.3,0.21572721,0.0,0.3422520392736833,1.986821008934596,0.94944966,1400.6693,0.7168071,756.43805,0.43692026,0_3_4_0,9,pending,,,,,,
41,v12vp_0041,79.2160318912351,9.247536100266496,"https://www.google.com/maps?q=9.247536100266496,79.2160318912351",0.3,0.30659243,0.0,0.34174989229504293,1.9872771048427902,1.0,1400.6333,0.7421671,1332.4717,0.8283347,0_4_4_1,13,pending,,,,,,
42,v12vp_0042,79.19806558555271,9.265502405948885,"https://www.google.com/maps?q=9.265502405948885,79.19806558555271",0.3,0.2722899,0.0,0.34170645137943767,1.9742350286257124,1.0,1400.612,0.7167784,1135.3801,0.14383006,0_4_4_0,13,pending,,,,,,
43,v12vp_0043,79.75502106170681,9.130755113330958,"https://www.google.com/maps?q=9.130755113330958,79.75502106170681",0.42404312,0.65866506,0.0,0.3413731845238192,1.4005382342016868,4.7290945,1986.7781,0.6385148,626.23773,0.12389076,4_1_2_0,14,pending,,,,,,
44,v12vp_0044,79.28789711396466,9.229569794584105,"https://www.google.com/maps?q=9.229569794584105,79.28789711396466",0.3,0.23468873,0.0,0.34002984343755177,3.9486677660414053,1.8414159,1400.6155,0.6969952,749.5769,2.2353468,2_3_3_3,13,pending,,,,,,
45,v12vp_0045,79.00941937588762,9.25651925310769,"https://www.google.com/maps?q=9.25651925310769,79.00941937588762",0.3,0.21935017,0.0,0.3395338836531428,2.210469268519209,1.2970374,1400.7788,0.68516946,690.94305,2.6365066,1_2_3_4,12,pending,,,,,,
46,v12vp_0046,79.12620036282316,9.247536100266496,"https://www.google.com/maps?q=9.247536100266496,79.12620036282316",0.33333334,0.362663,0.0,0.3382907099972359,1.4007018900385997,2.9787054,1400.709,0.7703044,718.05334,1.364174,3_2_4_2,12,pending,,,,,,
47,v12vp_0047,79.74603790886562,9.0499067377602,"https://www.google.com/maps?q=9.0499067377602,79.74603790886562",0.3,0.3119651,0.0,0.3346837729876022,4.421466211228551,2.5370708,1400.6743,0.67669845,708.01733,1.7461636,2_2_3_3,9,pending,,,,,,
48,v12vp_0048,79.19806558555271,9.292451864472472,"https://www.google.com/maps?q=9.292451864472472,79.19806558555271",0.3,0.3127676,0.0,0.33375384686303,1.4005840480642884,1.5996763,1400.5773,0.68482155,726.08624,0.14383006,1_2_3_0,13,pending,,,,,,
49,v12vp_0049,79.17111612702912,9.301435017313668,"https://www.google.com/maps?q=9.301435017313668,79.17111612702912",0.33333334,0.4593043,0.0,0.32737718772019825,2.2189507856694406,1.4161835,1987.3291,0.68234956,592.3448,1.5370059,1_1_3_2,13,pending,,,,,,
50,v12vp_0050,79.2250150440763,9.31041817015486,"https://www.google.com/maps?q=9.31041817015486,79.2250150440763",0.35,0.5896507,0.0,0.3254251292439579,1.4005223279546397,2.249052,1987.2723,0.663517,704.5534,1.3288581,2_2_3_2,13,pending,,,,,,
